,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Current Price,Shares Outstanding,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,45.81,84.9315068493,N/A,4.33,5.02,19.85,6.97,5.27,14.64,19836900000.0,19190000000.0,21.09,2.31,4.07,16.82,4470000000.0,2410000000.0,1140000000.0,0.73,0.73,26.00,9.40,0.63,9.41,2120000000.0,3.32,14.33,1030000000.0,1.48,0.27,87.95,4480000.0,1.37,1.39,4850000.0,62.00,319950000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,19.42,60.2631578947,N/A,1.59,1.17,12.95,5.73,6.70,65.51,8539868000.0,8810000000.0,10.75,0.87,0.73,3.78,11650000000.0,2590000000.0,2330000000.0,0.76,0.76,16.40,16.40,1220000000.0,6.41,1460000000.0,1.39,28.79,1200000000.0,28.79,6.85,0.00,4059999.9999999995,1.24,2.18,5550000.0,45.80,186460000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,96.03,17.83655706,N/A,7.19,21.55,26.70,11.76,40.86,48.32,9.073956e+11,942810000000.0,13.92,1.18,3.81,12.34,2.2923e+11,88190000000.0,76380000000.0,53320000000.0,10.34,30.00,15.60,63600000000.0,17.89,121840000000.0,1.46,25.67,67220000000.0,1.15,0.06,61.84,45960000.0,1.6,0.90,50910000.0,184.43,4920000000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,18.57,23.1457286432,N/A,41.14,21.55,38.25,10.49,149.25,18.57,1.391012e+11,176760000000.0,10.32,0.71,5.97,13.70,28220000000.0,21180000000.0,12900000000.0,6350000000.0,3.98,64.20,21.40,9960000000.0,5.97,37870000000.0,1.20,2.24,10500000000.0,1.63,0.09,71.51,43500000.0,4.02,3.12,18770000.0,92.12,1510000000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,145.47,23.4222797927,N/A,6.23,0.54,1.21,3.31,28.84,728.61,19872118000.0,23350000000.0,12.50,1.43,0.15,9.83,1.5314e+11,4550000000.0,2380000000.0,855070000.0,3.86,10.50,10.50,1500000000.0,9.52,4890000000.0,0.94,14.51,1060000000.0,1.18,26.10,68.16,5750000.0,3.78,3.58,6170000.0,90.41,219800000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,69.90,225.222222222,N/A,3.40,1.67,12.17,3.05,1.19,16.29,1.064175e+11,126640000000.0,18.89,1.84,4.45,19.31,27390000000.0,15050000000.0,6560000000.0,0.27,0.27,16.70,16.70,5570000000.0,2.31,22090000000.0,1.66,17.91,6100000000.0,1.68,0.72,73.86,14020000.0,2.58,0.82,14600000.0,60.81,1750000000.0,N/A
6,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.28,27.5676625659,N/A,10.01,9.67,14.65,15.74,39.85,60.11,1.008750974e+11,99090000000.0,21.49,2.32,2.67,16.43,36770000000.0,11030000000.0,6030000000.0,3590000000.0,5.69,3.60,15.20,4970000000.0,5.6,28840000.0,1.31,15.67,5660000000.0,1.07,0.23,76.04,8289999.999999999,4.94,1.35,7680000.0,156.86,643090000.0,N/A
7,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,21.53,55.8179723502,N/A,13.69,26.68,31.97,11.38,26.26,16.50,1.193008575e+11,119410000000.0,31.50,1.49,14.70,41.00,7300000000.0,6290000000.0,2910000000.0,2170000000.0,4.34,77.30,23.90,2910000000.0,12.88,1870000000.0,2.08,17.70,3500000000.0,0.8,0.33,87.98,5400000.0,2.39,1.10,5120000.0,242.25,492470000.0,N/A
8,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,65.96,34.7570422535,N/A,3.46,17.72,31.27,4.95,10.36,16.29,36611539000.0,43820000000.0,16.70,1.64,7.30,16.42,5110000000.0,3060000000.0,2670000000.0,1060000000.0,2.84,274.10,31.80,1110000000.0,2.17,6980000000.0,1.53,28.54,1360000000.0,1.12,0.40,89.46,8109999.999999999,3.44,2.18,10060000.0,98.71,370900000.0,N/A
9,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,47.88,15.9379310345,N/A,1.38,2.69,2.50,2.37,9.22,108.47,25845299600.0,34220000000.0,14.27,0.56,0.56,13.87,60830000000.0,3510000000.0,2470000000.0,1650000000.0,2.90,18.60,3.60,2210000000.0,1.42,0.38,1.57,33.51,18.60,0.87,0.28,78.56,9160000.0,2.27,1.83,8710000.0,46.22,559180000.0,N/A
