Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP
2000-12-12,39.0582792784,,0.988272180533,,8.55165252623,14.7026717255,29.969097611,41.3617181774,,35.1230785783,42.9414518346,8.83512286003,33.9955060542,7.02392946449,,18.4979381485,5.61389642783,20.8575105356
2000-12-13,39.6995855233,,0.963854532379,,8.74742830252,15.1772349491,28.5419977248,41.3617181774,,32.8872057024,39.1263462274,8.87794251848,34.2375060973,7.05311476697,,18.4979381485,5.17899710962,20.8851669032
2000-12-14,40.4227606505,,0.927870629837,,8.98069305725,14.0992147867,27.8284477817,41.3617181774,,28.4750832271,39.5351075424,8.96358183538,34.8205062011,7.17472019399,,18.3377463414,4.90327662684,20.2536798439
2000-12-15,38.8058502245,,0.903452981683,,9.58051671228,13.7125336415,27.1577108351,40.0548973094,,31.0239783057,38.904037442,9.1919533471,32.9340058651,6.71991589694,,18.2070635514,4.81515977151,20.1661013466
2000-12-18,38.8877191069,,0.91566180576,,10.0220535695,14.5181193607,28.1852227532,41.8852842303,,31.5804622215,38.0506585562,9.54878383418,32.8955058583,6.71991589694,,18.1817701081,4.88622175161,20.2536798439
2000-12-19,38.928653548,,0.899597563554,,10.321965397,14.7378245568,26.8508843596,42.1365959357,,31.7990809027,39.5781350493,9.72719907772,32.7580058338,6.47670504291,,18.4979381485,4.97007488813,20.5993844384
2000-12-20,35.8176360195,,0.924015211708,,9.98456459102,14.2984141646,26.4013478954,41.8852842303,,28.4452715888,36.4371270493,9.54878383418,32.4170057731,5.85165314804,,19.0754717689,4.97007488813,21.5489197246
2000-12-21,35.0535264511,,0.903452981683,,10.0616252689,14.0992147867,28.8987726963,45.0266805476,,29.7172348249,34.0204154147,9.94843397971,32.450005779,5.86867790783,,19.2862504625,5.50730345768,21.3783721247
2000-12-22,37.311743122,,0.963854532379,,10.4011087959,13.8795095906,28.8559596998,46.0738126533,,32.6387753828,35.3184118713,9.85565805307,32.7250058279,5.85894947367,,19.2061545589,5.56131056255,21.4936069895
2000-12-26,36.4998767056,,0.943934872043,,10.5427338256,14.1167912024,29.9262846144,53.655049099,,32.7629905426,37.0179983918,9.99125363816,33.6545059935,5.80787519432,,19.7331012929,5.31259363221,22.1250940488
2000-12-27,38.1645439796,,0.951645708302,,10.7905776275,14.2251790992,30.5113955678,56.2938220055,,32.5443718614,39.8434713415,10.2124885401,34.5455061521,6.01946863733,,19.6277119461,6.12696392414,22.0974376813
2000-12-28,37.7347323474,,0.951645708302,,10.9592780304,14.2076026835,30.6402262317,60.4823504286,,30.6215211881,38.7247561634,10.4408600519,34.859006208,6.44508763189,,19.3916398093,6.11133028852,21.691810957
2000-12-29,37.3526775632,,0.95614369612,,10.5177411733,14.1900262678,30.3754076448,59.1839066174,,28.9123205895,36.7096345927,10.7049146123,34.8205062011,6.55210040766,,19.5223225993,6.00473731837,21.4336848598
2001-01-02,34.712406108,,0.95614369612,,10.4011087959,14.0992147867,29.5236938112,55.7493133105,,23.2245084234,33.7048803645,10.4408600519,34.1330060787,6.24808684012,,19.0501783257,5.91662046305,21.000401768
2001-01-03,38.29416971,,1.05188657967,,10.6093808983,13.7857687069,28.1852863584,56.5451337109,,28.7958060785,39.0833187205,9.99125363816,33.4125059504,6.6566810749,,18.2323569946,6.77789166185,20.1661013466
2001-01-04,39.7405199645,,1.09622388816,,9.73672078911,12.5231961798,26.6607901689,56.2938220055,,26.7134031191,37.3837322,10.0340732966,31.1795055527,7.14417145021,,16.8875889296,7.13320156234,19.1566439306
2001-01-05,37.5641721759,,1.05188657967,,9.39723726214,12.5964312452,27.1546410472,58.3880862171,,25.5951676397,34.1566691864,9.85565805307,30.1840053754,7.06861044203,,16.8622954863,6.6002367116,18.8109393361
2001-01-08,36.329316534,,1.06409540375,,9.97206826487,12.4675375301,27.3335725248,57.3409541113,,24.6310001597,32.9877552503,10.4836797103,32.3840057672,7.02229885638,,17.363948777,6.7423606718,19.128987563
2001-01-09,36.1587563625,,1.10457729411,,9.99706091717,12.7429013759,26.123995736,57.5922658167,,24.7552485463,32.9017002366,10.4836797103,33.3795059445,8.08990277831,,17.3386553338,6.67982612931,19.4746921576
2001-01-10,37.7347323474,,1.06409540375,,10.3615370964,12.5231961798,26.0381086267,58.1367745117,,22.7374547479,35.2753843644,10.4836797103,33.4840059631,8.63832945054,,17.1531700835,6.57323315916,19.1889096928
2001-01-11,39.2697738911,,1.15662543885,,10.0095572433,12.3760721645,25.7661327807,62.3253029347,,23.8855098401,37.2474784283,10.2624448083,33.3080059318,8.47014527106,,16.4955405595,6.92854305966,18.3499998767
2001-01-12,38.29416971,,1.10457729411,,10.2303256719,12.8174442103,24.9144189471,59.1839066174,,25.0683544805,37.6490684922,10.2124885401,33.9955060542,8.65782906555,,16.7063192531,6.99960503976,18.6680481037
2001-01-16,39.6995855233,,1.10007930629,,10.1803403673,13.2411613743,26.0381086267,60.9849738393,,25.2870316409,37.6920959991,10.5264993688,34.1000060728,8.83576305254,,16.546127446,7.07066701986,18.755626601
2001-01-17,42.2579880961,,1.08015964595,,10.2053330196,13.0204753514,25.1434512385,59.6865300282,,26.5891547325,41.3279203278,10.5693190272,33.1705059073,9.38418972477,,16.5714208892,6.96407404971,18.755626601
2001-01-18,46.0921807519,,1.20096274734,,9.3597482837,13.2588162561,26.123995736,59.9378417336,,27.8316385985,41.9518191771,9.99125363816,33.0330058828,9.29644145721,,16.7316126963,6.99960503976,18.9860963306
2001-01-19,44.7276993797,,1.25301089209,,8.75992462867,12.9645682256,25.45121338,60.2310387232,,28.9498740779,41.0984402912,9.77001873617,33.0000058769,9.5060623186,,17.0477807367,6.36004721887,19.0137526982
2001-01-22,42.8106030518,,1.23694664989,,9.18896515969,13.0028204696,26.7538345373,58.6393979224,,29.7897931713,40.1590063917,9.85565805307,32.2795057486,9.65962178682,,17.4440446806,6.73383323419,19.1889096928
2001-01-23,42.8106030518,,1.31726786092,,9.72422446297,12.9469133438,27.5554475571,58.6393979224,,29.5412963981,40.3813151771,10.3052644668,32.7250058279,9.5060623186,,17.3386553338,6.92854305966,19.4193794224
2001-01-24,39.5699597929,,1.31726786092,,9.47638066106,12.7262273209,27.5983911118,58.6393979224,,29.8842219452,40.5605964556,9.94843397971,33.0715058896,9.11119511459,,17.6253143571,6.86600851717,19.8803188818
2001-01-25,37.6937979062,,1.28128395838,,9.86793221365,13.4265376335,27.8703669578,59.4352183228,,28.3584517577,39.2195724922,9.85565805307,32.967005871,9.15506924837,,17.6548233742,6.76936422424,20.0785228493
2001-01-26,37.2708086808,,1.25686631022,,9.82836051419,13.5913165306,27.5125040025,60.4823504286,,28.8554453041,39.262599999,10.2124885401,32.692005822,9.09413295146,,17.4440446806,7.22131841767,19.9955537466
2001-01-29,37.1275381368,,1.39373365382,,10.157430436,13.373572988,27.6198628891,59.8959564493,,26.8376515057,40.6466514693,10.2053519304,33.2750059259,9.29644145721,,17.4904159932,8.22613481627,20.2168046871
2001-01-30,37.3526775632,,1.39758907195,,9.99497819614,13.2558737758,26.9757095696,58.6393979224,,26.2164095727,43.3215281451,10.6692315636,33.0715058896,9.0795082402,,17.3892422203,7.93193821866,20.2490704493
2001-01-31,37.2162294259,,1.389235666,,9.96165465975,13.19996665,26.4818586913,60.3148092916,,21.7136480423,44.892032145,10.6906413928,32.9230058632,8.98932252077,,17.1911102483,8.22613481627,19.9356316169
2001-02-01,36.7045489114,,1.35710718159,,9.89292486595,13.5354094048,26.0667376631,73.8856413823,,22.5833867485,42.453806757,10.5545917033,32.8350058475,8.92838622385,,17.1320922141,7.94188689587,19.8296155413
2001-02-02,35.6129638136,,1.32497869718,,10.2261602299,13.3912278699,27.1617983063,73.1735915504,,21.6490388813,39.5853063004,10.9627407719,31.7350056516,8.57739315363,,16.9297446683,7.887879791,19.9586785899
2001-02-05,33.5662417554,,1.29734820058,,10.4198532851,13.6325112549,27.7558508121,78.744334353,,22.5535671357,38.6171873963,11.2634821908,32.439005777,8.78945146689,,16.9466069638,7.8168178109,20.2813362114
2001-02-06,34.7738077698,,1.35710718159,,10.7676676962,13.8796796006,27.1116974926,78.744334353,,21.8677160417,37.6060409854,10.7264439427,32.8020058416,9.00394723203,,16.8622954863,8.11954184612,20.5164153357
2001-02-07,34.2075480003,,1.33333210312,,10.6531180399,13.9944363325,27.6985927392,85.8648326721,,20.0338098555,35.4259806384,11.2849637208,32.8240058456,8.77482675563,,17.0098405718,8.27872068154,20.728447487
2001-02-08,36.9842675927,,1.33333210312,,10.6739452501,14.2092373948,26.8611934239,80.1684340168,,17.8619480577,36.1933045105,11.4281739203,32.972505872,8.92838622385,,17.2838528735,7.62210798543,21.1162007305
