Date,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,ADT,AEE,AEO,AEP
2000-12-12,39.1377565848,,0.992282043827,,8.6321049345,14.7738873717,29.969097611,41.3617181774,,35.1230785783,43.179721296,8.97547802384,34.1734112915,7.02392946449,,18.6348446714,5.6645633631,21.202702721
2000-12-13,39.7803677846,,0.967765322328,,8.82972253407,15.2507492474,28.5419977248,41.3617181774,,32.8872057024,39.3434467921,9.01897791733,34.4166777689,7.05311476697,,18.6348446714,5.22573896079,21.2308168019
2000-12-14,40.5050144567,,0.931635416961,,9.06518180165,14.1675074557,27.8284477817,41.3617181774,,28.4750832271,39.7544762033,9.10597770431,35.0027288281,7.17472019399,,18.4734672563,4.94753002599,20.5888786201
2000-12-15,38.8848138784,,0.907118695462,,9.6706484897,13.7789533347,27.1577108351,40.0548973094,,31.0239783057,39.1199044808,9.33797713627,33.1063560611,6.71991589694,,18.3418172597,4.85861789219,20.4998506971
2000-12-18,38.9668493508,,0.919377056212,,10.1163392462,14.5884410867,28.1852227532,41.8852842303,,31.5804622215,38.261790447,9.7004762487,33.0676545761,6.71991589694,,18.3163366152,4.9303212259,20.5888786201
2000-12-19,39.0078670869,,0.903247634173,,10.4190725902,14.8092104736,26.8508843596,42.1365959357,,31.7990809027,39.7977424571,9.88172580492,32.9294349866,6.47670504291,,18.6348446714,5.01493115968,20.940304632
2000-12-20,35.8905191389,,0.927764355672,,10.0784975782,14.3676716998,26.4013478954,41.8852842303,,28.4452715888,36.6393059294,9.7004762487,32.5866504048,5.85165314804,,19.2166527206,5.01493115968,21.9055547449
2000-12-21,35.1248547306,,0.907118695462,,10.1562832291,14.1675074557,28.8987726963,45.0266805476,,29.7172348249,34.2091846741,10.1064752546,32.6198231063,5.86867790783,,19.4289914247,5.55700836253,21.732184579
2000-12-22,37.3876665087,,0.967765322328,,10.498960556,13.9467380688,28.8559596998,46.0738126533,,32.6387753828,35.5143833305,10.0122254854,32.8962622852,5.85894947367,,19.3483027171,5.61150289615,21.8493265829
2000-12-26,36.5741480748,,0.947764839,,10.6419179684,14.1851690066,29.9262846144,53.655049099,,32.7629905426,37.2234003557,10.1499751481,33.8306267097,5.80787519432,,19.8791494774,5.36054122816,22.4912647648
2000-12-27,38.2422026786,,0.955506961579,,10.8920934402,14.2940819042,30.5113955678,56.2938220055,,32.5443718614,40.0645510222,10.3747245978,34.7262896493,6.01946863733,,19.7729801253,6.18226143248,22.4631506838
2000-12-28,37.811516449,,0.955506961579,,11.0623809463,14.2764203532,30.6402262317,60.4823504286,,30.6215211881,38.9396284233,10.6067240298,35.0414303132,6.44508763189,,19.5351607767,6.16648669907,22.0508108298
2000-12-29,37.4286842448,,0.96002319975,,10.6166901898,14.2587588023,30.3754076448,59.1839066174,,28.9123205895,36.9133255368,10.874973373,35.0027288281,6.55210040766,,19.6668107733,6.0589316985,21.7884127409
2001-01-02,34.7830402626,,0.96002319975,,10.498960556,14.1675074557,29.5236938112,55.7493133105,,23.2245084234,33.8918988129,10.6067240298,34.311630881,6.24808684012,,19.1911720761,5.9700195647,21.3479588059
2001-01-03,38.3720921765,,1.0561545551,,10.7091920449,13.8525431304,28.1852863584,56.5451337109,,28.7958060785,39.3001805383,10.1499751481,33.5873602323,6.6566810749,,18.3672979042,6.83906396927,20.4998506971
2001-01-04,39.8213855207,,1.10067175993,,9.82832210638,12.5838550536,26.6607901689,56.2938220055,,26.7134031191,37.5911635131,10.1934750416,31.3426740999,7.14417145021,,17.0125769721,7.19758063782,19.4736867422
2001-01-05,37.640609215,,1.0561545551,,9.48564477946,12.6574448493,27.1546410472,58.3880862171,,25.5951676397,34.3461944778,10.0122254854,30.3419642724,7.06861044203,,16.9870963276,6.65980563499,19.1222607302
2001-01-08,36.4032408408,,1.06841291585,,10.0658836888,12.5279268089,27.3335725248,57.3409541113,,24.6310001597,33.1707945828,10.6502239233,32.5534777034,7.02229885638,,17.4924624434,6.80321230241,19.4455726612
2001-01-09,36.2323336068,,1.10905905939,,10.0911114675,12.8046244405,26.123995736,57.5922658167,,24.7552485463,33.0842620752,10.6502239233,33.5541875309,8.08990277831,,17.4669817989,6.74011336875,19.7969986732
2001-01-10,37.811516449,,1.06841291585,,10.4590165731,12.5838550536,26.0381086267,58.1367745117,,22.7374547479,35.4711170767,10.6502239233,33.6592344188,8.63832945054,,17.2801237393,6.63255836818,19.5064865033
2001-01-11,39.3496815549,,1.16131838679,,10.1037253568,12.4360184106,25.7661327807,62.3253029347,,23.8855098401,37.4541537094,10.4254744736,33.4823133444,8.47014527106,,16.6176269825,6.99107503673,18.6536927143
2001-01-12,38.3720921765,,1.10905905939,,10.3265707351,12.8795283397,24.9144189471,59.1839066174,,25.0683544805,37.8579720782,10.3747245978,34.1734112915,8.65782906555,,16.8299656866,7.06277837044,18.9770046453
2001-01-16,39.7803677846,,1.10454282122,,10.2761151778,13.3052978715,26.0381086267,60.9849738393,,25.2870316409,37.901238332,10.6937238168,34.2784581795,8.83576305254,,16.6685882715,7.13448170415,19.0660325683
2001-01-17,42.3439762945,,1.08454233789,,10.3013429564,13.083542907,25.1434512385,59.6865300282,,26.5891547325,41.5572367784,10.7372237103,33.3440937549,9.38418972477,,16.694068916,7.02692670359,19.0660325683
2001-01-18,46.1859709147,,1.20583559162,,9.44780311146,13.3230382687,26.123995736,59.9378417336,,27.8316385985,42.1845974586,10.1499751481,33.2058741655,9.29644145721,,16.8554463311,7.06277837044,19.3003165763
2001-01-19,44.8187130427,,1.25809491903,,8.84233642341,13.0273649827,25.45121338,60.2310387232,,28.9498740779,41.3264834248,9.92522569841,33.172701464,9.5060623186,,17.1739543872,6.41744836705,19.3284306572
2001-01-22,42.8977157326,,1.24196549699,,9.27541329056,13.0658025099,26.7538345373,58.6393979224,,29.7897931713,40.3818368834,10.0122254854,32.4484308154,9.65962178682,,17.5731511509,6.79460790237,19.5064865033
2001-01-23,42.8977157326,,1.32261260718,,9.81570821705,13.0096245855,27.5554475571,58.6393979224,,29.5412963981,40.6053791947,10.4689743671,32.8962622852,9.5060623186,,17.4669817989,6.99107503673,19.7407705112
2001-01-24,39.6504782867,,1.32261260718,,9.56553274525,12.787869621,27.5983911118,58.6393979224,,29.8842219452,40.7856552522,10.1064752546,33.2445756505,9.11119511459,,17.7557624364,6.92797610307,20.2093385272
2001-01-25,37.7704987128,,1.28648270182,,9.96076794439,13.4915720417,27.8703669578,59.4352183228,,28.3584517577,39.437190342,10.0122254854,33.1395287626,9.15506924837,,17.785489855,6.83045956922,20.410822774
2001-01-26,37.3466487725,,1.26196598032,,9.9208239615,13.6571490819,27.5125040025,60.4823504286,,28.8554453041,39.4804565958,10.3747245978,32.8630895837,9.09413295146,,17.5731511509,7.28649277162,20.3264805312
2001-01-29,37.2030866959,,1.39938865609,,10.252989714,13.4383508503,27.6198628891,59.8959564493,,26.8376515057,40.8721877599,10.3674746156,33.4491406429,9.29644145721,,17.6198656658,8.30037791028,20.5513931788
2001-01-30,37.4286842448,,1.40325971738,,10.0890091526,13.3200815358,26.9757095696,58.6393979224,,26.2164095727,43.561906538,10.8387234617,33.2445756505,9.0795082402,,17.5179430878,8.00352610872,20.5841929399
